Line #,Key,en Version,ka Translation
1,ka.mongoid.models.user,User,მომხმარებელი
2,ka.mongoid.models.page_content,Text for Pages,ტექსტი გვერდებისთვის
3,ka.mongoid.models.dataset,Dataset,მონაცემთა ცხრილი
4,ka.mongoid.models.shapeset,Shapeset,ფორმების ცხრილი
5,ka.mongoid.models.question,Question,კითხვა
6,ka.mongoid.models.time_series,Time Series,პერიოდული შედარება
7,ka.mongoid.models.time_series_question,Question,შეკითხვა
8,ka.mongoid.models.time_series_answer,Answer,პასუხი
9,ka.mongoid.models.api_version,API Version,API ვერსია
10,ka.mongoid.models.api_method,API Method,API მეთოდი
11,ka.mongoid.models.api_key,API Access Token,API დაშვების გასაღები
12,ka.mongoid.models.categories,Category,კატეგორია
13,ka.mongoid.models.category_mappers,Categories,კატეგორიები
14,ka.mongoid.attributes.user.email,Email Address,ელ.ფოსტა
15,ka.mongoid.attributes.user.password,Password,პაროლი
16,ka.mongoid.attributes.user.password_confirmation,Password Confirmation,გაიმეორეთ პაროლი
17,ka.mongoid.attributes.user.role,Role,როლი
18,ka.mongoid.attributes.user.remember_me,Remeber Me,დამიმახსოვრე
19,ka.mongoid.attributes.user.nickname,Nickname,მომხმარებლის სახელი
20,ka.mongoid.attributes.user.sign_in_count,Number of Times Logged In,შემოსვლის რაოდენობა
21,ka.mongoid.attributes.user.created_at,Date Created,შექმნის თარიღი
22,ka.mongoid.attributes.user.current_sign_in_at,Date Last Logged In,ბოლო შემოსვლის თარიღი
23,ka.mongoid.attributes.user.first_name,First Name,სახელი
24,ka.mongoid.attributes.user.last_name,Last Name,გვარი
25,ka.mongoid.attributes.user.name,Name,სახელი
26,ka.mongoid.attributes.user.age_group,Age Group,ასაკობრივი ჯგუფი
27,ka.mongoid.attributes.user.residence,Country of Residence,საცხოვრებელი ქვეყანა
28,ka.mongoid.attributes.user.affiliation,Affiliation,დაწესებულება
29,ka.mongoid.attributes.user.status,Status,სტატუსი
30,ka.mongoid.attributes.user.status_other,When other(Please specify),როდესაც სხვა (გთხოვთ მიუთითოთ)
31,ka.mongoid.attributes.user.description,Short description of research objective (<i>optional</i>),საკვლევი ობიექტის მოკლე აღწერა (<i>არჩევითი</i>)
32,ka.mongoid.attributes.user.notifications,I want to receive notifications when new datasets are added,ახალი მონაცემების დამატების დროს მინდა შეტყობინების მიღება
33,ka.mongoid.attributes.user.notification_locale,Notification Language,შეტყობინების ენა
34,ka.mongoid.attributes.message.name,Name,სახელი
35,ka.mongoid.attributes.message.email,Email Address,ელ.ფოსტის მისამართი
36,ka.mongoid.attributes.message.message,Message,შეტყობინება
37,ka.mongoid.attributes.message.subject,Subject,სათაური
38,ka.mongoid.attributes.agreement.email,Email Address,ელ.ფოსტა
39,ka.mongoid.attributes.agreement.first_name,First Name,სახელი
40,ka.mongoid.attributes.agreement.last_name,Last Name,გვარი
41,ka.mongoid.attributes.agreement.age_group,Age Group,ასაკობრივი ჯგუფი
42,ka.mongoid.attributes.agreement.residence,Country of Residence,საცხოვრებელი ქვეყანა
43,ka.mongoid.attributes.agreement.affiliation,Affiliation,დაწესებულება
44,ka.mongoid.attributes.agreement.status,Status,სტატუსი
45,ka.mongoid.attributes.agreement.status_other,When other(Please specify),როდესაც სხვა (გთხოვთ მიუთითოთ)
46,ka.mongoid.attributes.agreement.description,Short description of research objective (<i>optional</i>),საკვლევი ობიექტის მოკლე აღწერა (<i>არჩევითი</i>)
47,ka.mongoid.attributes.agreement.dataset_id,Dataset,მონაცემთა ცხრილი
48,ka.mongoid.attributes.agreement.dataset_type,Download Type,ჩამოტვირთვის ტიპი
49,ka.mongoid.attributes.agreement.dataset_locale,Download Language,ჩამოტვირთვის ენა
50,ka.mongoid.attributes.agreement.created_at,Date,თარიღი
51,ka.mongoid.attributes.page_content.name,Unique Name,უნიკალური სახელი
52,ka.mongoid.attributes.page_content.title,Title,სათაური
53,ka.mongoid.attributes.page_content.content,Content,კონტენტი
54,ka.mongoid.attributes.dataset.title,Title,სათაური
55,ka.mongoid.attributes.dataset.description,Description,აღწერა
56,ka.mongoid.attributes.dataset.methodology,Methodology,მეთოდოლოგია
57,ka.mongoid.attributes.dataset.source,Source of Data,მონაცემთა წყარო
58,ka.mongoid.attributes.dataset.source_url,URL to Souce,წყაროს URL
59,ka.mongoid.attributes.dataset.datafile,Data File,მონაცემების ფაილი
60,ka.mongoid.attributes.dataset.has_warnings,Issues with Data,მონაცემების საკითხები
61,ka.mongoid.attributes.dataset.stats,Dataset Stats,მონაცემთა ცხრილის სტატისტიკა
62,ka.mongoid.attributes.dataset.codebook,Codebook,კოდირება
63,ka.mongoid.attributes.dataset.released_at,Date Released,გამოქვეყნების თარიღი
64,ka.mongoid.attributes.dataset.start_gathered_at,Date Started Gathering Data,მონაცემთა შეგროვების დაწყების თარიღი
65,ka.mongoid.attributes.dataset.end_gathered_at,Date Finished Gathering Data,მონაცემთა შეგროვების დასრულების თარიღი
66,ka.mongoid.attributes.dataset.gathered_at,Dates Collected,მონაცემები შეგროვებულია
67,ka.mongoid.attributes.dataset.public,Make Available to the Public,გავხადოთ საჯაროდ ხელსმისაწვდომი
68,ka.mongoid.attributes.dataset.languages,Languages of Dataset,მონაცემთა ცხრილის ენა
69,ka.mongoid.attributes.dataset.default_language,Default Language,მთავარი ენა
70,ka.mongoid.attributes.dataset.is_mappable,Has questions that are geographic in nature,აქვს კითხვები რომლებიც არიან ბუნებრივად გეოგრაფიული ტიპის
71,ka.mongoid.attributes.dataset.created_at,Added On,დამატებულია
72,ka.mongoid.attributes.dataset.reports,Reports,რეფორთები
73,ka.mongoid.attributes.dataset.category_ids,Categories,კატეგორიები
74,ka.mongoid.attributes.dataset.permalink,URL to Dataset,მონაცემთა URL-ი
75,ka.mongoid.attributes.question.code,Question Code,კითხვის კოდი
76,ka.mongoid.attributes.question.original_code,Question Code,კითხვის კოდი
77,ka.mongoid.attributes.question.text,Question,კითხვა
78,ka.mongoid.attributes.question.notes,Notes,შენიშვნა
79,ka.mongoid.attributes.question.exclude,Exclude Question from Analysis,ანალიზიდან კითხვის გამორიცხვა
80,ka.mongoid.attributes.question.exclude_download_header,Exclude Question from Analysis (leave blank to show question),ანალიზიდან კითხვის გამორიცხვა (დატოვე ადგილი კითხვი გამოსაჩენად)
81,ka.mongoid.attributes.question.no_questions,There are no questions on file for this dataset.,მონაცემთა ამ ცხრილისთვის კითხვა ან ფაილი ვერ მოიძებნა
82,ka.mongoid.attributes.question.is_mappable,Question has been setup to show answers on a map,კითხვის პასუხები რუკაზე გამოჩნდება
83,ka.mongoid.attributes.question.has_code_answers,Has defined list of answers,განსაზღვრა პასუხების სია
84,ka.mongoid.attributes.question.possible_answers,Possible Answer Values,შესაძლო პასუხების მნიშვნელობები
85,ka.mongoid.attributes.question.data_answers,Answer Values in Data,პასუხების მნიშვნელობები მონაცემებში
86,ka.mongoid.attributes.answer.value,Value,მნიშვნელობა
87,ka.mongoid.attributes.answer.text,Answer,პასუხი
88,ka.mongoid.attributes.answer.exclude,Exclude Answer from Analysis,ანალიზიდან კითხვის გამორიცხვა
89,ka.mongoid.attributes.answer.exclude_download_header,Exclude Answer from Analysis (leave blank to show answer),ანალიზიდან კითხვის გამორიცხვა (დატოვე ადგილი პასუხის გამოსაჩენად)
90,ka.mongoid.attributes.answer.can_exclude,Can Exclude During Analysis,ანალიზის დროს შეუძლია გამორიცხვა
91,ka.mongoid.attributes.answer.can_exclude_download_header,Can Exclude During Analysis (leave blank to always show answer),ანალიზის დროს შეუძლია გამორიცხვა (დატოვე ადგილი პასუხის მუდმივად გამოსაჩენად)
92,ka.mongoid.attributes.answer.no_questions,There are no questions on file for this dataset.,მონაცემთა ამ ცხრილისთვის კითხვა ან ფაილი ვერ მოიძებნა
93,ka.mongoid.attributes.answer.sort_order,Sort Order,დახარისხების წყობა
94,ka.mongoid.attributes.answer.shape_name,Name of Shape,ფორმის სახელი
95,ka.mongoid.attributes.report.title,Title,დასახელება
96,ka.mongoid.attributes.report.file,File,ფაილი
97,ka.mongoid.attributes.report.released_at,Date Released,გამოქვეყნების თარიღი
98,ka.mongoid.attributes.report.language_id,Language,ენა
99,ka.mongoid.attributes.report.summary,Summary,მოკლე შეჯამება
100,ka.mongoid.attributes.time_series.title,Title,დასახელება
101,ka.mongoid.attributes.time_series.description,Description,აღწერა
102,ka.mongoid.attributes.time_series.source,Source of Data,მონაცემთა წყარო
103,ka.mongoid.attributes.time_series.source_url,URL to Souce,წყაროს URL
104,ka.mongoid.attributes.time_series.public,Make Available to the Public,გავხადოთ საჯაროდ ხელსმისაწვდომი
105,ka.mongoid.attributes.time_series.created_at,Added On,დამატებულია
106,ka.mongoid.attributes.time_series.datasets,Datasets,მონაცემთა ცხრილი
107,ka.mongoid.attributes.time_series.dates,Dates Included,მოიცავს თარიღებს
108,ka.mongoid.attributes.time_series.category_ids,Categories,კატეგორიები
109,ka.mongoid.attributes.time_series.permalink,URL to Time Series,პერიოდული შედარების URL-ი
